D1,D2,Time Spent up 3,Time Spent up 2,Time Spent up 1,Time spent tied,Time Spent down 1,Time Spent down 2,Time Spent down 3,Total TOI (Min),DZ Starts,OZ Starts,total_shots_for,total_shots_against,total_goals_for,total_goals_against,Shot Att For/60,Shot Att Against/60,GF/60,GA/60,Shot Att%,GF%,SCF,SCA,Unnamed: 4,Scoring Chance%
Bays Brendan,McKinney Sam,8.1,21.3,49.9,172.0,56.3,15.6,6.7,338.7,127,135,288,322,12,10,51.0,57.0,2.1,1.8,47.2,54.5,29.0,28.0,0.0,50.9
Hendry Jordan,Ruscheinski Kieran,4.9,15.6,20.8,84.0,35.2,11.4,1.6,182.8,81,46,116,205,6,8,38.1,67.3,2.0,2.6,36.1,42.9,0.0,0.0,0.0,
Ruscheinski Kieran,Wilson Owen,1.9,4.8,16.8,42.7,10.9,0.9,0.7,82.0,50,19,68,88,6,0,49.7,64.4,4.4,0.0,43.6,100.0,0.0,0.0,0.0,
Robinson Payton,Rose Simon,0.0,9.6,8.9,34.2,18.7,4.9,0.1,76.4,29,26,39,95,1,3,30.6,74.6,0.8,2.4,29.1,25.0,0.0,0.0,0.0,
Benson Matthew,Wilson Owen,3.0,7.0,12.9,25.7,3.2,0.0,0.0,56.1,38,12,40,42,1,3,42.8,44.9,1.1,3.2,48.8,25.0,6.0,4.0,0.0,60.0
Hendry Jordan,Rose Simon,0.0,1.1,8.2,31.0,11.8,1.0,2.1,55.2,16,16,29,60,0,1,31.6,65.3,0.0,1.1,32.6,0.0,4.0,10.0,0.0,28.6
Robinson Payton,Wilson Owen,0.0,1.8,10.1,25.5,7.2,2.7,0.2,48.3,22,18,22,72,1,7,27.3,89.5,1.2,8.7,23.4,12.5,0.0,0.0,0.0,
McKinney Sam,Wilson Owen,0.4,7.8,5.6,15.8,10.6,1.2,0.0,42.7,9,11,25,33,0,1,35.1,46.4,0.0,1.4,43.1,0.0,2.0,1.0,0.0,66.7
Wilson Owen,Wood Gavin,1.4,4.0,4.8,17.8,4.3,1.2,0.0,34.9,10,7,21,25,1,0,36.1,43.0,1.7,0.0,45.7,100.0,0.0,0.0,0.0,
Hendry Jordan,Wood Gavin,0.0,0.0,7.0,19.7,3.6,2.4,0.0,32.7,9,4,16,46,0,0,29.4,84.4,0.0,0.0,25.8,0.0,0.0,0.0,0.0,
Rose Simon,Wilson Owen,0.5,0.9,0.0,7.9,9.3,7.2,2.4,29.1,7,11,30,26,0,2,61.9,53.6,0.0,4.1,53.6,0.0,0.0,0.0,0.0,
Hendry Jordan,McKinney Sam,3.4,0.7,3.0,11.4,5.0,0.8,0.0,26.7,3,6,22,17,0,0,49.4,38.2,0.0,0.0,56.4,0.0,0.0,0.0,0.0,
Benson Matthew,Rose Simon,2.6,3.2,6.9,9.4,0.0,0.0,0.0,26.0,10,10,23,38,1,0,53.1,87.8,2.3,0.0,37.7,100.0,0.0,0.0,0.0,
Bays Brendan,Wilson Owen,2.2,1.2,5.0,8.2,1.6,0.0,0.0,19.5,6,1,21,14,1,0,64.6,43.1,3.1,0.0,60.0,100.0,2.0,2.0,0.0,50.0
Rose Simon,Ruscheinski Kieran,1.0,1.8,3.4,3.8,2.1,2.0,3.2,17.4,15,2,14,12,0,0,48.2,41.3,0.0,0.0,53.8,0.0,0.0,0.0,0.0,
Hendry Jordan,Wilson Owen,1.0,2.5,1.9,8.1,2.0,0.4,0.3,17.3,3,2,7,17,0,1,24.3,59.0,0.0,3.5,29.2,0.0,1.0,0.0,0.0,100.0
Bays Brendan,Hendry Jordan,0.0,1.7,2.1,5.8,2.7,1.0,1.1,14.9,2,0,7,21,0,1,28.3,84.8,0.0,4.0,25.0,0.0,0.0,0.0,0.0,
McKinney Sam,Wood Gavin,0.2,0.4,1.4,5.2,4.3,0.7,0.0,12.3,4,2,4,13,0,0,19.6,63.6,0.0,0.0,23.5,0.0,0.0,0.0,0.0,
Bays Brendan,Ruscheinski Kieran,0.7,1.2,1.2,5.1,1.8,0.0,1.1,11.7,5,4,5,14,0,1,25.6,71.6,0.0,5.1,26.3,0.0,0.0,0.0,0.0,
McKinney Sam,Ruscheinski Kieran,0.6,0.5,0.2,5.8,3.5,0.3,0.0,10.9,7,3,7,11,1,2,38.4,60.4,5.5,11.0,38.9,33.3,0.0,0.0,0.0,
