F1,F2,F3,time_up_3,time_up_2,time_up_1,time_tied,time_down_1,time_down_2,time_down_3,total_duration,total_dz_start,total_oz_start,total_shots_for,total_shots_against,total_goals_for,total_goals_against,total_shots_for_per60,total_shots_against_per60,total_goals_for_per60,total_goals_against_per60,ShotAtt%,GF%,SCF,SCA,SC%
Goldie Jaden,Phibbs Jack,Popple Tate,6.4,11.7,22.1,58.9,24.4,1.8,0.0,134.0,51,47,91,148,2,3,40.7,66.3,0.9,1.3,38.1,40.0,11.0,15.0,42.3
Fishman Jesse,Fraser Cole,Murray Jaxson,5.5,6.9,12.9,43.4,12.8,3.8,2.6,93.8,53,28,72,95,5,4,46.1,60.8,3.2,2.6,43.1,55.6,16.0,12.0,57.1
Bowie Brendan,Fedak Liam,Santia Adamo,3.7,7.4,14.0,35.1,9.8,0.0,0.0,73.1,42,32,60,79,1,3,49.3,64.9,0.8,2.5,43.2,25.0,9.0,13.0,40.9
Davidson Aaron,Grein Adam,Monette Max,4.0,4.1,10.1,23.6,8.9,4.3,1.8,62.6,30,18,53,58,1,2,50.8,55.6,1.0,1.9,47.7,33.3,8.0,11.0,42.1
Fedak Liam,Fraser Cole,Pierce Emmett,0.0,1.8,9.6,37.9,4.6,2.1,2.6,58.5,24,21,42,67,0,1,43.1,68.7,0.0,1.0,38.5,0.0,0.0,0.0,
Bierd Nate,Fishman Jesse,Murray Jaxson,0.0,0.7,3.8,29.7,11.5,2.5,0.6,49.3,26,28,41,35,2,3,49.9,42.6,2.4,3.7,53.9,40.0,0.0,0.0,
Fedak Liam,Fraser Cole,Santia Adamo,0.0,5.6,4.5,19.1,13.5,3.9,0.0,46.6,21,13,22,45,1,1,28.4,58.0,1.3,1.3,32.8,50.0,0.0,0.0,
Bierd Nate,Goldie Jaden,Murray Jaxson,0.0,0.0,5.6,23.0,2.4,1.9,0.2,33.2,17,13,19,28,0,3,34.4,50.6,0.0,5.4,40.4,0.0,0.0,0.0,
Phibbs Jack,Popple Tate,Santia Adamo,0.0,0.0,4.9,21.2,0.0,1.1,0.0,27.8,17,10,18,40,0,1,38.9,86.4,0.0,2.2,31.0,0.0,0.0,0.0,
Fraser Cole,Murray Jaxson,Popple Tate,0.6,3.3,3.0,12.8,5.4,0.0,0.0,25.2,6,15,24,24,1,2,57.1,57.1,2.4,4.8,50.0,33.3,3.0,2.0,60.0
Fishman Jesse,Goldie Jaden,Phibbs Jack,0.2,5.6,2.7,9.5,6.5,0.0,0.0,24.6,7,9,12,33,0,1,29.3,80.7,0.0,2.4,26.7,0.0,0.0,0.0,
Goldie Jaden,Popple Tate,Santia Adamo,0.0,0.2,5.6,16.8,0.0,0.6,0.4,24.0,13,5,14,25,0,0,35.0,62.5,0.0,0.0,35.9,0.0,0.0,0.0,
Bierd Nate,Pierce Emmett,Popple Tate,0.0,5.4,3.7,8.3,2.1,0.0,0.0,19.4,7,9,9,19,0,3,27.8,58.7,0.0,9.3,32.1,0.0,0.0,0.0,
Bierd Nate,Murray Jaxson,Popple Tate,0.0,0.5,3.5,4.5,8.5,0.8,0.1,17.9,8,4,14,10,0,0,46.8,33.5,0.0,0.0,58.3,0.0,0.0,0.0,
Davidson Aaron,Lopez Marco,Monette Max,1.3,3.7,4.4,2.6,1.0,0.0,0.0,14.1,5,6,13,10,0,1,55.3,42.6,0.0,4.3,56.5,0.0,1.0,3.0,25.0
Grein Adam,Lopez Marco,Monette Max,0.7,0.5,1.5,7.6,1.8,0.1,0.0,12.3,4,1,4,17,0,0,19.5,83.0,0.0,0.0,19.0,0.0,0.0,0.0,
Grein Adam,Monette Max,Murray Jaxson,0.1,4.2,0.8,5.0,2.2,0.0,0.0,12.2,3,5,6,16,0,1,29.4,78.4,0.0,4.9,27.3,0.0,0.0,0.0,
Murray Jaxson,Phibbs Jack,Popple Tate,0.1,0.8,1.9,3.5,4.8,1.0,0.0,12.0,4,2,8,20,2,3,40.0,100.0,10.0,15.0,28.6,40.0,0.0,0.0,
Fedak Liam,Lopez Marco,Santia Adamo,0.0,0.0,0.0,3.1,2.6,5.5,0.0,12.0,3,2,10,8,0,0,50.1,40.1,0.0,0.0,55.6,0.0,8.0,3.0,72.7
Bowie Brendan,Phibbs Jack,Popple Tate,0.0,0.0,0.1,5.9,1.6,3.8,0.2,12.0,3,2,4,15,0,0,20.1,75.2,0.0,0.0,21.1,0.0,0.0,1.0,0.0
Goldie Jaden,Grein Adam,Monette Max,0.0,0.0,1.4,5.3,2.6,1.0,0.0,10.4,5,0,8,7,0,0,46.2,40.4,0.0,0.0,53.3,0.0,0.0,0.0,
